Date,sample_return,lw_return
2018-01-24,-0.007772743516021295,-0.007644642628337171
2018-01-25,-0.010469202710821964,-0.010589727096321794
2018-01-29,-0.0063753722267662965,-0.0065432153792540915
2018-01-30,-0.022875420502076967,-0.022668326321780206
2018-01-31,-0.011161411374930093,-0.010960142652834588
2018-02-01,0.0072183939687167084,0.006716776856581408
2018-02-02,-0.02115572645104921,-0.02183575836245516
2018-02-05,0.0031884851122906464,0.0029630401724041588
2018-02-06,-0.00837053551055377,-0.008416588469839547
2018-02-07,0.016096004069336832,0.01608007509144802
2018-02-08,0.009412875477111093,0.009119323587225604
2018-02-09,-0.00502296178341015,-0.0051583812448610985
2018-02-12,0.0043872003091713525,0.004466263555923504
2018-02-14,0.0014008678956785162,0.0011537150198576561
2018-02-15,0.0008798609361745924,0.0006283022961199622
2018-02-16,0.0015000741881605268,0.0009194553643855781
2018-02-19,-0.01593584466169543,-0.015730094306476497
2018-02-20,-0.003746889308033189,-0.003679479509054992
2018-02-21,-0.003693173753893624,-0.0035737995092539887
2018-02-22,-0.005821231141906856,-0.005667973719704392
2018-02-23,0.0018846711817045259,0.0023785836203702574
2018-02-26,0.009186593943627558,0.009482863548365545
2018-02-27,0.0018253650874466858,0.001711274339784483
2018-02-28,0.0036477184093769667,0.003574766662195609
2018-03-01,0.00337200480851606,0.003119101455566126
2018-03-05,-0.005751814327880387,-0.005843242802797807
2018-03-06,-0.0021135696012539837,-0.0023172209552175115
2018-03-07,-0.007215283588478254,-0.007433130389621177
2018-03-08,-0.0009077318139062594,-0.0007525512649694113
2018-03-09,0.008728012205179192,0.008401275330016854
2018-03-12,-0.005921505629908122,-0.005820486363978549
2018-03-13,0.00203044669109335,0.0021464964620744797
2018-03-14,0.0015824094391922916,0.0015230756233481867
2018-03-15,-0.0008734530056468258,-0.0006820115677562406
2018-03-16,-0.017280075026939595,-0.017422800635814105
2018-03-19,-0.003013891197968648,-0.0031921668894608493
2018-03-20,-0.006107684760248574,-0.00616135894662811
2018-03-21,0.005653591341552472,0.0055895062367743555
2018-03-22,-0.013885675850984928,-0.013884538163712889
2018-03-23,-0.00647308665635032,-0.006482424256682021
2018-03-26,-0.00016829955364445971,7.345841903941817e-05
2018-03-27,0.0012942984440306787,0.001476907252507671
2018-03-28,0.0044732102356797145,0.004456282438863066
2018-04-02,0.00398868178487089,0.004596009824956556
2018-04-03,-0.000690966155506892,-0.00028604416611631824
