N,T,N_over_T,sample_sharpe,lw_sharpe,sharpe_difference
25,126,0.1984126984126984,1.1110091277429859,1.162676946825498,0.05166781908251217
25,252,0.0992063492063492,1.3083190419446025,1.37427675877842,0.06595771683381746
25,504,0.0496031746031746,1.2353631252349198,1.272267682124754,0.036904556889834295
25,756,0.03306878306878307,1.2683750726730003,1.2763429490877585,0.007967876414758157
50,126,0.3968253968253968,1.2098646427450852,1.400440735855791,0.1905760931107059
50,252,0.1984126984126984,1.412835191863504,1.517880532541703,0.10504534067819904
50,504,0.0992063492063492,1.5015591711087986,1.554151541184802,0.05259237007600337
50,756,0.06613756613756613,1.6645132403413563,1.6711145469114235,0.006601306570067189
100,126,0.7936507936507936,0.811987794405947,1.3009091505227544,0.4889213561168073
100,252,0.3968253968253968,1.2978999828644227,1.454262134565794,0.15636215170137135
100,504,0.1984126984126984,1.3181412037319302,1.3919400981627494,0.07379889443081922
100,756,0.13227513227513227,1.3062003841691874,1.330619754469135,0.024419370299947563
150,126,1.1904761904761905,-0.5944831697403722,1.303378517722931,1.897861687463303
150,252,0.5952380952380952,1.1920189417529834,1.4519474659833724,0.25992852423038904
150,504,0.2976190476190476,1.303921347982005,1.4695900332666516,0.1656686852846465
150,756,0.1984126984126984,1.4798423587431506,1.530794774192507,0.05095241544935636
