date,sample_condition,lw_condition,sample_hhi,lw_hhi,sample_realized_vol,lw_realized_vol,sample_forecast_error,lw_forecast_error,sample_sharpe,lw_sharpe,sample_turnover,lw_turnover,lw_shrinkage,N,T,N_over_T
2015-07-08,35.832950808515314,18.958990411343287,0.20183100868781195,0.13766950321258095,0.12142140435491267,0.11809967346720768,0.006274492785615107,0.003898984345670889,3.570187800651225,3.799853187469144,,,0.15234270071318765,25,126,0.1984126984126984
2015-08-06,41.16031080307705,19.00978080174242,0.21564230409063878,0.13534082578972165,0.3015875388482288,0.3123514578581394,0.19168399287820947,0.19311721423001957,-2.9010336874375198,-3.3158010110500387,0.26651374947915063,0.17556185399981333,0.1609048886013359,25,126,0.1984126984126984
2015-09-04,85.81809494182846,27.414437311795993,0.2998452513496336,0.16137807900617773,0.17271442420171373,0.15822893258817666,0.03797909008526326,0.01117521226487464,-2.2709741141573,-1.0265146128922473,0.5029236406214099,0.37421060748080126,0.18850112820864315,25,126,0.1984126984126984
2015-10-08,70.07594484666319,27.522233717913362,0.3071381353266147,0.17408204010816708,0.1447104221194638,0.11215539471983373,0.009932515838216888,0.036357070137705214,-2.613146621663122,-3.094433636802553,0.3419634290126594,0.19401456533566783,0.17384263299943306,25,126,0.1984126984126984
2015-11-09,63.89070191614405,21.5477874788748,0.2695615788352387,0.14261748594115656,0.121703646001193,0.1151260013857317,0.009612358037313404,0.028361497944284664,2.268996480551526,0.9234347352720111,0.2253620132742952,0.15755498916351773,0.2129985332508306,25,126,0.1984126984126984
2015-12-11,69.83098783719491,21.162074079077083,0.2882824779496256,0.13917330751167184,0.14354611960817482,0.12770876067323214,0.01712298868766915,0.012202981181076128,-2.3627264920208386,-1.8167225778279168,0.27713197072814366,0.14279845618944717,0.22631337299674884,25,126,0.1984126984126984
2016-01-12,82.43538906495674,24.201384859251533,0.2906569497994684,0.152272107340154,0.19897557022577855,0.1496955443400906,0.0810743199142149,0.01538399370294119,0.39984524953539274,-2.51112797761106,0.3256917276064911,0.15838320729936914,0.21288725329322453,25,126,0.1984126984126984
2016-02-11,85.20268033640296,34.98752526188707,0.2497770829273338,0.1704932096914454,0.21181944731090796,0.1915339458875075,0.09539278003429033,0.06213364325512252,-0.7939668455984736,-0.26676141561890787,0.5129548951900618,0.22032487184815136,0.15041675392709306,25,126,0.1984126984126984
2016-03-14,59.30076486264896,33.22950704456151,0.18502922352043655,0.14174723506387327,0.13017284815136965,0.12136700729682336,0.01928538199697931,0.004143344963435283,6.674532987303877,7.6143188979941545,0.5385640726476536,0.3929157150706182,0.11199623240890651,25,126,0.1984126984126984
2016-04-18,68.54202698518415,34.21783489613703,0.17865915888166442,0.137438657916236,0.13030484743034496,0.12102532145509914,0.024117220863433472,0.008064221409433275,3.9711414691032236,4.2815241041380565,0.28054027785655705,0.21932309863649901,0.12059322393493135,25,126,0.1984126984126984
