date,sample_condition,lw_condition,sample_hhi,lw_hhi,sample_realized_vol,lw_realized_vol,sample_forecast_error,lw_forecast_error,sample_sharpe,lw_sharpe,sample_turnover,lw_turnover,lw_shrinkage
2015-07-08,35.832950808515314,18.958990411343287,0.2018310086878118,0.13766950321258073,0.12142140435491272,0.11809967346720758,0.006274492785615177,0.0038989843456709444,3.570187800651217,3.7998531874691492,,,0.15234270071318765
2015-08-06,41.16031080307705,19.00978080174242,0.21564230409063873,0.1353408257897216,0.30158753884822875,0.31235145785813945,0.19168399287820945,0.19311721423001965,-2.9010336874375193,-3.315801011050042,0.2665137494791514,0.1755618539998135,0.1609048886013359
2015-09-04,85.81809494182846,27.414437311795993,0.29984525134963336,0.16137807900617757,0.17271442420171357,0.1582289325881767,0.03797909008526312,0.011175212264874723,-2.270974114157302,-1.0265146128922362,0.5029236406214099,0.3742106074808007,0.18850112820864315
2015-10-08,70.07594484666319,27.522233717913362,0.3071381353266148,0.17408204010816702,0.1447104221194638,0.11215539471983373,0.00993251583821686,0.036357070137705186,-2.613146621663128,-3.094433636802554,0.34196342901265897,0.19401456533566838,0.17384263299943306
2015-11-09,63.89070191614405,21.5477874788748,0.2695615788352386,0.1426174859411566,0.12170364600119306,0.11512600138573167,0.009612358037313376,0.02836149794428472,2.268996480551529,0.9234347352720077,0.22536201327429534,0.15755498916351784,0.2129985332508306
2015-12-11,69.83098783719491,21.162074079077083,0.2882824779496262,0.13917330751167167,0.14354611960817493,0.1277087606732321,0.017122988687669205,0.0122029811810761,-2.3627264920208413,-1.816722577827918,0.2771319707281441,0.1427984561894468,0.22631337299674884
2016-01-12,82.43538906495674,24.201384859251533,0.2906569497994687,0.15227210734015392,0.19897557022577866,0.14969554434009072,0.08107431991421496,0.015383993702941218,0.3998452495353852,-2.5111279776110718,0.3256917276064919,0.15838320729936994,0.21288725329322453
2016-02-11,85.20268033640296,34.98752526188707,0.2497770829273337,0.17049320969144535,0.21181944731090827,0.19153394588750747,0.0953927800342906,0.062133643255122495,-0.7939668455984685,-0.2667614156189054,0.5129548951900621,0.22032487184815125,0.15041675392709306
2016-03-14,59.30076486264896,33.22950704456151,0.18502922352043627,0.14174723506387316,0.1301728481513696,0.12136700729682338,0.01928538199697931,0.0041433449634353525,6.674532987303873,7.614318897994142,0.5385640726476539,0.39291571507061757,0.11199623240890651
2016-04-18,68.54202698518415,34.21783489613703,0.1786591588816643,0.13743865791623608,0.13030484743034496,0.12102532145509917,0.0241172208634335,0.008064221409433303,3.9711414691032236,4.281524104138058,0.2805402778565569,0.21932309863649924,0.12059322393493135
2016-05-18,68.24736004875795,35.78043242168856,0.17069950266619605,0.1387622620885657,0.08120831126051815,0.07713871656710786,0.024854691744341934,0.03482953278826309,3.0112109294719724,2.5461746949154236,0.28255217527539694,0.1993342636947652,0.11447375684677316
2016-06-16,62.59577750855439,32.716697441241514,0.17283593235752306,0.14002471745480388,0.11676744881996255,0.1093680837762318,0.01580483038512706,0.0007066709512979219,6.680538480604849,6.718706879940906,0.16151240535029976,0.1173447042773583,0.11991939756573168
2016-07-18,54.67445405314134,29.621472714667508,0.18128795100911524,0.14076020592036403,0.12889578719408637,0.11932381749854148,0.030847584048189033,0.012539343586228824,6.2856414943084395,6.198488776415103,0.18224557296353514,0.11790669550304748,0.12488606084305477
2016-08-17,51.164041182784274,22.570702925019994,0.1677898119204713,0.11909044081705922,0.12507086839444034,0.11806197889594798,0.02754853433937267,0.01346494854598937,2.0340732059813913,2.2258207933032677,0.3233370785291547,0.2034609488350499,0.16780994975210492
2016-09-19,32.30857214173718,13.796557499428125,0.15288591933572973,0.09457432961493951,0.15214056373033202,0.1529280001278154,0.06252325015889695,0.05860685568455591,1.230800410192602,0.9061545766150791,0.3220987883322922,0.2206183176403014,0.20343167942529297
2016-10-20,37.063742658296626,16.59071741542584,0.14527882398954547,0.09954761575268757,0.21544035469170308,0.211555880174783,0.11871929109616876,0.11251677856998855,-8.058414821134003,-7.948886064800507,0.30465145716295605,0.20669233023051448,0.18453695120735733
2016-11-22,49.83503972495284,23.182002646161386,0.17738186566495262,0.12666455329905593,0.10071714193616256,0.09447048441394951,0.010559371648856508,0.019939418547420693,-0.8697487587154393,-1.4962333767656506,0.42759349862614066,0.35644190477282506,0.15371096044702204
2016-12-21,40.699748725026,21.199462242185984,0.16678062392565035,0.12454859407481993,0.1324503522796778,0.11753938510087093,0.018825420063594375,0.0014065898445941305,4.784044037771266,5.355595812740559,0.1644713881080874,0.117192356830362,0.15204311186415714
2017-01-19,42.90676441840471,21.475582124215688,0.1740344448815551,0.1287288248562962,0.1326204955333748,0.1255543386088448,0.023633365919134494,0.012808608151711393,2.126207334475265,2.420572037181162,0.2511575262337206,0.17113908741163253,0.15555998476145652
2017-02-20,41.01992002786801,20.24655632667931,0.18331666646317757,0.12920288381730546,0.1921830262753157,0.1602244240925646,0.0836209424812596,0.04701123560907047,3.3164758606578095,3.7813493400333305,0.24429827923433636,0.16267415728354864,0.1621794297652279
2017-03-23,44.68032098873602,19.525584552464792,0.1685488137948935,0.12347916017949581,0.14252287018247975,0.12553384891465214,0.034418167497806976,0.012646398540315781,9.626178830957732,9.84085789614052,0.3539224983189108,0.21137729350166232,0.17943996060271303
2017-04-25,30.518519135857392,12.849390800048573,0.1533655965311543,0.09975609440842508,0.12294588373424904,0.11986458739603474,0.014356206304694502,0.007852716756863276,-5.6187645391808685,-5.624858498214249,0.4081566657229679,0.2479699865095215,0.2283540499145626
2017-05-25,26.60879619757541,9.009868277219137,0.12178945634775051,0.07625289542297448,0.1042724700238933,0.10883743323448598,0.005883636768092407,0.009619672403433144,1.313157848343183,2.1136952624557934,0.3040882588776519,0.22035980784903683,0.2909450169800525
2017-06-23,29.42900256295337,9.128267410491382,0.16777078659130285,0.08325482183448009,0.10110924556142747,0.09205191194915241,0.00853794386512105,0.0058697239211863705,-0.2901448208101112,1.2501482133498505,0.2680406179667592,0.12977058677674963,0.29902044159526014
2017-07-25,34.3564526443284,9.481949535529091,0.16710826814934537,0.08165740233833854,0.09306964390684554,0.10906130909580979,0.004383119956187037,0.013894395689488234,-0.8011612064437594,-0.6427488511300927,0.1947336110320383,0.1043193578773986,0.2879815368974365
2017-08-24,38.12832064184386,11.51450781904421,0.1864496281976016,0.09547180364208915,0.12736775742383194,0.1370546267862619,0.0438297438011203,0.042998350617031875,4.6407817350366045,4.027516772386291,0.17462898863423512,0.11134476843763946,0.26013098606143337
2017-09-25,46.764324103289574,12.564490964628687,0.23198077492097988,0.09967688493655588,0.15096462194997348,0.15107143782252763,0.0632986704287528,0.0524352969820335,1.836091786692079,3.070468499215007,0.2394536057529069,0.16331247657049486,0.25091214736395523
